sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
212260666,left,posible_ocular_frontal_banda_baja,12,3,2,34.108,15.1481
212260666,left,outlier_estadistico_extremo,9,2,3,17.3712,4.4104
212260666,pull,posible_muscular_beta_gamma,517,6,3,63.2168,140.7999
212260666,pull,salto_brusco_estadistico,463,14,5,4.4981,251.8671
212260666,pull,posible_no_fisiologico_salto_o_pico,312,12,5,1215.1307,6097.3641
212260666,pull,outlier_estadistico_extremo,282,12,5,3152.3859,4.3498
212260666,pull,posible_ocular_frontal_banda_baja,136,6,2,213.4027,399.1654
212260666,push,salto_brusco_estadistico,211,14,5,4.4749,194.7122
212260666,push,posible_muscular_beta_gamma,132,6,3,54.7705,254.4967
212260666,push,posible_no_fisiologico_salto_o_pico,85,10,5,164.5518,701.3092
212260666,push,outlier_estadistico_extremo,32,6,5,36.9247,4.1422
212260666,push,posible_ocular_frontal_banda_baja,14,4,2,22.799,49.7035
212260666,right,salto_brusco_estadistico,185,14,5,4.4131,67.9318
212260666,right,posible_muscular_beta_gamma,148,6,3,539.7795,1186.2581
212260666,right,posible_no_fisiologico_salto_o_pico,98,12,5,437.9254,1344.6639
212260666,right,posible_ocular_frontal_banda_baja,38,6,2,243.5567,560.4237
212260666,right,outlier_estadistico_extremo,10,4,5,16.3379,4.2961
212260668,all,salto_brusco_estadistico,955,14,5,4.4949,66.3345
212260668,all,posible_muscular_beta_gamma,893,6,3,26.3609,131.2127
212260668,all,outlier_estadistico_extremo,830,12,5,37.0975,4.4857
212260668,all,posible_no_fisiologico_salto_o_pico,483,12,5,35.4112,134.1273
212260668,all,posible_ocular_frontal_banda_baja,204,6,2,20.1375,112.0492
212260668,left,salto_brusco_estadistico,49,13,5,0.8081,140.3526
212260668,left,posible_muscular_beta_gamma,16,6,3,5.6168,112.3434
212260668,left,outlier_estadistico_extremo,1,1,1,5.9607,3.4446
212260668,pull,salto_brusco_estadistico,194,14,5,4.444,201.9093
212260668,pull,posible_muscular_beta_gamma,166,6,3,70.786,198.3311
212260668,pull,posible_no_fisiologico_salto_o_pico,150,11,5,74.1585,49.7781
212260668,pull,posible_ocular_frontal_banda_baja,70,6,2,29.342,23.0203
212260668,pull,outlier_estadistico_extremo,38,9,5,16.2955,3.905
212260668,push,outlier_estadistico_extremo,137,12,4,13.49,4.4723
212260668,push,salto_brusco_estadistico,136,14,5,4.4347,18.2115
212260668,push,posible_ocular_frontal_banda_baja,96,6,2,9.5786,7.0031
212260668,push,posible_muscular_beta_gamma,58,6,3,6.7484,8.989
212260668,push,posible_no_fisiologico_salto_o_pico,38,8,1,10.0211,18.2115
212260668,right,salto_brusco_estadistico,277,14,5,4.474,21.4146
212260668,right,posible_muscular_beta_gamma,187,6,3,12.9694,42.6427
212260668,right,posible_no_fisiologico_salto_o_pico,75,12,5,12.0692,45.3942
212260668,right,outlier_estadistico_extremo,53,12,5,11.9711,4.4901
212260668,right,posible_ocular_frontal_banda_baja,48,6,2,11.5033,48.1914
212260672,all,salto_brusco_estadistico,413,14,5,4.4862,7162.0292
212260672,all,posible_muscular_beta_gamma,147,6,3,61.7686,135.0686
212260672,all,posible_no_fisiologico_salto_o_pico,136,11,5,1754.7204,4660.5127
212260672,all,posible_ocular_frontal_banda_baja,98,6,2,30.5711,95.0617
212260672,all,outlier_estadistico_extremo,86,10,5,31.2949,4.3921
212260672,left,salto_brusco_estadistico,67,14,5,4.4806,325.6622
212260672,left,posible_muscular_beta_gamma,42,6,3,95.754,96.0825
212260672,left,outlier_estadistico_extremo,32,10,5,138.7959,4.4967
212260672,left,posible_no_fisiologico_salto_o_pico,31,10,5,99.1289,382.6689
212260672,left,posible_ocular_frontal_banda_baja,22,4,2,19.7162,32.7816
212260672,pull,salto_brusco_estadistico,125,14,5,4.4013,7289.2616
212260672,pull,posible_muscular_beta_gamma,46,6,3,23.5365,83.0555
212260672,pull,outlier_estadistico_extremo,32,8,4,10.709,3.8707
212260672,pull,posible_ocular_frontal_banda_baja,25,4,2,8.8494,31.6334
212260672,pull,posible_no_fisiologico_salto_o_pico,22,4,5,1422.0976,4743.1479
212260672,push,salto_brusco_estadistico,31,11,5,3.8222,33.0367
212260672,push,outlier_estadistico_extremo,9,4,4,14.2294,3.8128
212260672,push,posible_muscular_beta_gamma,9,4,3,2.1758,14.6704
212260672,push,posible_no_fisiologico_salto_o_pico,2,2,2,12.4653,21.6878
212260672,push,posible_ocular_frontal_banda_baja,2,1,1,7.7108,7.6576
212260672,right,salto_brusco_estadistico,140,14,5,4.3182,77.6237
