dataset,Clasificador,Accuracy,Kappa,MAE,RMSE,RAE_pct,RRSE_pct,AUC,EXITO,cv,folds,sujeto
212260567_all_noOutliers,J48_C45,89.43,0.8298,0.0528,0.2299,16.87,58.09,0.8873,SI,bloques,3,212260567
212260567_all_noOutliers,RandomForest,91.06,0.856,0.1015,0.1948,32.39,49.22,0.9811,SI,bloques,3,212260567
212260569_all_noOutliers,NaiveBayes,65.83,0.4245,0.2321,0.4639,61.38,106.7,0.6264,no,bloques,3,212260569
212260569_all_noOutliers,SMO_SVM,88.44,0.7907,0.1156,0.2472,30.58,56.86,0.9374,SI,bloques,3,212260569
212260569_all_noOutliers,MLP,82.41,0.6846,0.1422,0.3121,37.61,71.77,0.83,SI,bloques,3,212260569
212260569_all_noOutliers,IBk_kNN,73.37,0.5187,0.1776,0.4214,46.95,96.91,0.7165,no,bloques,3,212260569
212260569_all_noOutliers,RBFNetwork_aprox,79.9,0.6417,0.1689,0.3079,44.68,70.82,0.8353,SI,bloques,3,212260569
212260569_all_noOutliers,J48_C45,83.42,0.6962,0.1106,0.3325,29.24,76.47,0.7712,SI,bloques,3,212260569
212260569_all_noOutliers,RandomForest,78.89,0.6054,0.2278,0.3283,60.25,75.49,0.7778,SI,bloques,3,212260569
212260569_all_sinArtefactosConservador,NaiveBayes,70.77,0.4803,0.1942,0.4296,50.54,98.01,0.6419,no,bloques,3,212260569
212260569_all_sinArtefactosConservador,SMO_SVM,86.15,0.7501,0.1263,0.2505,32.86,57.14,0.8981,SI,bloques,3,212260569
212260569_all_sinArtefactosConservador,MLP,87.69,0.7795,0.115,0.2646,29.91,60.36,0.8749,SI,bloques,3,212260569
212260569_all_sinArtefactosConservador,IBk_kNN,83.85,0.7132,0.1077,0.3282,28.02,74.86,0.8137,SI,bloques,3,212260569
212260569_all_sinArtefactosConservador,RBFNetwork_aprox,80.0,0.6414,0.1602,0.3003,41.7,68.52,0.8409,SI,bloques,3,212260569
