sujeto,archivo,tipo,filas,ruta
252260556,252260556_Left_matchResults.csv,Left_matchResults,335,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260556/252260556_Left_matchResults.csv
252260556,252260556_Right_matchResults.csv,Right_matchResults,121,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260556/252260556_Right_matchResults.csv
252260556,252260556_Push_matchResults.csv,Push_matchResults,159,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260556/252260556_Push_matchResults.csv
252260556,252260556_Pull_matchResults.csv,Pull_matchResults,299,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260556/252260556_Pull_matchResults.csv
252260670,252260670_all_Outliers.csv,all_Outliers,2468,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260670/252260670_all_Outliers.csv
252260670,252260670_Left_matchResults.csv,Left_matchResults,9,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260670/252260670_Left_matchResults.csv
252260670,252260670_Right_matchResults.csv,Right_matchResults,93,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260670/252260670_Right_matchResults.csv
252260670,252260670_Push_matchResults.csv,Push_matchResults,68,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260670/252260670_Push_matchResults.csv
252260670,252260670_Pull_matchResults.csv,Pull_matchResults,20,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/252260670/252260670_Pull_matchResults.csv
cano,cano_all_Outliers.csv,all_Outliers,941,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/cano/cano_all_Outliers.csv
cano,cano_Left_matchResults.csv,Left_matchResults,106,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/cano/cano_Left_matchResults.csv
cano,cano_Right_matchResults.csv,Right_matchResults,565,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/cano/cano_Right_matchResults.csv
cano,cano_Push_matchResults.csv,Push_matchResults,235,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/cano/cano_Push_matchResults.csv
cano,cano_Pull_matchResults.csv,Pull_matchResults,35,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/cano/cano_Pull_matchResults.csv
villanueva,villanueva_all_Outliers.csv,all_Outliers,689,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/villanueva/villanueva_all_Outliers.csv
villanueva,villanueva_Left_matchResults.csv,Left_matchResults,17,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/villanueva/villanueva_Left_matchResults.csv
villanueva,villanueva_Right_matchResults.csv,Right_matchResults,49,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/villanueva/villanueva_Right_matchResults.csv
villanueva,villanueva_Push_matchResults.csv,Push_matchResults,226,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/villanueva/villanueva_Push_matchResults.csv
villanueva,villanueva_Pull_matchResults.csv,Pull_matchResults,397,/kaggle/working/outputs/TESE_pruebas/run_20260902_145353/processed_data/usuarios/villanueva/villanueva_Pull_matchResults.csv
