sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,noOutliers,random_undersampling_controlado,RBFNetwork_aprox,right,0.3768,0.5306,69,False
211260561,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,left,0.7233,0.6765,159,False
211260561,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,pull,0.4681,0.3793,47,True
211260561,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,push,0.6172,0.7315,128,False
211260561,all,sinArtefactosConservador,sin_balanceo,SMO_SVM,right,0.4928,0.5075,69,False
211260561,all,sinArtefactosConservador,sin_balanceo,RandomForest,left,0.7862,0.6158,159,False
211260561,all,sinArtefactosConservador,sin_balanceo,RandomForest,pull,0.1489,0.2593,47,True
211260561,all,sinArtefactosConservador,sin_balanceo,RandomForest,push,0.6953,0.6224,128,False
211260561,all,sinArtefactosConservador,sin_balanceo,RandomForest,right,0.1304,0.3,69,False
211260561,all,sinArtefactosConservador,sin_balanceo,MLP,left,0.7296,0.7342,159,False
211260561,all,sinArtefactosConservador,sin_balanceo,MLP,pull,0.3191,0.4839,47,True
211260561,all,sinArtefactosConservador,sin_balanceo,MLP,push,0.8359,0.6903,128,False
211260561,all,sinArtefactosConservador,sin_balanceo,MLP,right,0.4493,0.5254,69,False
211260561,all,sinArtefactosConservador,sin_balanceo,IBk_kNN,left,0.7987,0.6828,159,False
211260561,all,sinArtefactosConservador,sin_balanceo,IBk_kNN,pull,0.4043,0.5278,47,True
211260561,all,sinArtefactosConservador,sin_balanceo,IBk_kNN,push,0.6484,0.6587,128,False
211260561,all,sinArtefactosConservador,sin_balanceo,IBk_kNN,right,0.4203,0.5273,69,False
211260561,all,sinArtefactosConservador,sin_balanceo,RBFNetwork_aprox,left,0.8616,0.6884,159,False
211260561,all,sinArtefactosConservador,sin_balanceo,RBFNetwork_aprox,pull,0.1489,0.3182,47,True
211260561,all,sinArtefactosConservador,sin_balanceo,RBFNetwork_aprox,push,0.7969,0.6623,128,False
211260561,all,sinArtefactosConservador,sin_balanceo,RBFNetwork_aprox,right,0.2319,0.5714,69,False
211260561,all,sinArtefactosConservador,random_oversampling,SMO_SVM,left,0.7296,0.6824,159,False
211260561,all,sinArtefactosConservador,random_oversampling,SMO_SVM,pull,0.4894,0.3898,47,True
211260561,all,sinArtefactosConservador,random_oversampling,SMO_SVM,push,0.625,0.7273,128,False
211260561,all,sinArtefactosConservador,random_oversampling,SMO_SVM,right,0.4783,0.5156,69,False
211260561,all,sinArtefactosConservador,random_oversampling,RandomForest,left,0.8302,0.7097,159,False
211260561,all,sinArtefactosConservador,random_oversampling,RandomForest,pull,0.1915,0.36,47,True
211260561,all,sinArtefactosConservador,random_oversampling,RandomForest,push,0.7891,0.6433,128,False
211260561,all,sinArtefactosConservador,random_oversampling,RandomForest,right,0.2609,0.5143,69,False
211260561,all,sinArtefactosConservador,random_oversampling,MLP,left,0.7107,0.7584,159,False
211260561,all,sinArtefactosConservador,random_oversampling,MLP,pull,0.4043,0.5,47,True
211260561,all,sinArtefactosConservador,random_oversampling,MLP,push,0.8359,0.6948,128,False
211260561,all,sinArtefactosConservador,random_oversampling,MLP,right,0.4928,0.5484,69,False
211260561,all,sinArtefactosConservador,random_oversampling,IBk_kNN,left,0.805,0.6882,159,False
211260561,all,sinArtefactosConservador,random_oversampling,IBk_kNN,pull,0.383,0.5143,47,True
211260561,all,sinArtefactosConservador,random_oversampling,IBk_kNN,push,0.6484,0.664,128,False
211260561,all,sinArtefactosConservador,random_oversampling,IBk_kNN,right,0.4493,0.5439,69,False
211260561,all,sinArtefactosConservador,random_oversampling,RBFNetwork_aprox,left,0.8365,0.7151,159,False
211260561,all,sinArtefactosConservador,random_oversampling,RBFNetwork_aprox,pull,0.2553,0.3636,47,True
211260561,all,sinArtefactosConservador,random_oversampling,RBFNetwork_aprox,push,0.7812,0.6803,128,False
211260561,all,sinArtefactosConservador,random_oversampling,RBFNetwork_aprox,right,0.3768,0.7027,69,False
211260561,all,sinArtefactosConservador,class_weight_balanced,SMO_SVM,left,0.7233,0.6765,159,False
211260561,all,sinArtefactosConservador,class_weight_balanced,SMO_SVM,pull,0.4681,0.3793,47,True
211260561,all,sinArtefactosConservador,class_weight_balanced,SMO_SVM,push,0.6172,0.7315,128,False
211260561,all,sinArtefactosConservador,class_weight_balanced,SMO_SVM,right,0.4928,0.5075,69,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RandomForest,left,0.8113,0.6232,159,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RandomForest,pull,0.1277,0.25,47,True
211260561,all,sinArtefactosConservador,class_weight_balanced,RandomForest,push,0.7109,0.6364,128,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RandomForest,right,0.1449,0.3448,69,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,left,0.8239,0.7238,159,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,pull,0.2766,0.3714,47,True
211260561,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,push,0.75,0.6761,128,False
211260561,all,sinArtefactosConservador,class_weight_balanced,RBFNetwork_aprox,right,0.3913,0.6,69,False
211260561,all,sinArtefactosConservador,smote,SMO_SVM,left,0.7358,0.6842,159,False
211260561,all,sinArtefactosConservador,smote,SMO_SVM,pull,0.4681,0.3929,47,True
211260561,all,sinArtefactosConservador,smote,SMO_SVM,push,0.6406,0.7321,128,False
211260561,all,sinArtefactosConservador,smote,SMO_SVM,right,0.4928,0.5312,69,False
211260561,all,sinArtefactosConservador,smote,RandomForest,left,0.7987,0.6447,159,False
211260561,all,sinArtefactosConservador,smote,RandomForest,pull,0.234,0.3056,47,True
211260561,all,sinArtefactosConservador,smote,RandomForest,push,0.6562,0.6512,128,False
211260561,all,sinArtefactosConservador,smote,RandomForest,right,0.2174,0.3659,69,False
211260561,all,sinArtefactosConservador,smote,MLP,left,0.7233,0.7468,159,False
211260561,all,sinArtefactosConservador,smote,MLP,pull,0.4255,0.5556,47,True
211260561,all,sinArtefactosConservador,smote,MLP,push,0.8438,0.7105,128,False
211260561,all,sinArtefactosConservador,smote,MLP,right,0.4638,0.5246,69,False
211260561,all,sinArtefactosConservador,smote,IBk_kNN,left,0.7044,0.7568,159,False
211260561,all,sinArtefactosConservador,smote,IBk_kNN,pull,0.4681,0.4231,47,True
211260561,all,sinArtefactosConservador,smote,IBk_kNN,push,0.6875,0.704,128,False
211260561,all,sinArtefactosConservador,smote,IBk_kNN,right,0.5217,0.4615,69,False
211260561,all,sinArtefactosConservador,smote,RBFNetwork_aprox,left,0.8365,0.6751,159,False
