sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,accuracy,balanced_accuracy,kappa,macro_f1,weighted_f1,recall_left,recall_pull,recall_push,recall_right,precision_left,precision_pull,precision_push,precision_right,auc,min_clase,problema_muestra,exito,observacion,cv,folds
211260561,all,sinArtefactosConservador,smote_tomek,RBFNetwork_aprox,66.5,55.0,0.5005,0.5585,0.6396,0.8365,0.2766,0.7969,0.2899,0.6751,0.4815,0.7034,0.5882,0.8239,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_undersampling_controlado,SMO_SVM,62.03,58.02,0.4673,0.5712,0.6287,0.6981,0.4894,0.6406,0.4928,0.7161,0.3333,0.7523,0.4857,0.8077,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,60.55,49.51,0.414,0.4998,0.5818,0.7736,0.2128,0.7188,0.2754,0.6613,0.4348,0.6013,0.4634,0.8061,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_undersampling_controlado,MLP,65.51,59.36,0.5043,0.5972,0.6494,0.6792,0.4255,0.8203,0.4493,0.7248,0.5263,0.6863,0.4921,0.858,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_undersampling_controlado,IBk_kNN,62.28,55.99,0.4533,0.5666,0.617,0.761,0.4255,0.6328,0.4203,0.6836,0.4762,0.6328,0.5179,0.7121,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RBFNetwork_aprox,65.01,54.94,0.4834,0.5596,0.6341,0.8176,0.2766,0.7266,0.3768,0.6701,0.4062,0.6992,0.5909,0.8486,47,False,no,"Recall crítico bajo en: pull, right",bloques,4.0
211260561,all,sinArtefactosEstricto,sin_balanceo,SMO_SVM,69.39,65.29,0.5632,0.6481,0.6938,0.8167,0.5938,0.6667,0.5345,0.7903,0.4634,0.6667,0.6889,0.8296,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,sin_balanceo,RandomForest,61.9,53.06,0.4376,0.5408,0.6001,0.7667,0.3125,0.75,0.2931,0.6571,0.625,0.6364,0.4359,0.8271,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,sin_balanceo,MLP,69.05,65.26,0.5555,0.6566,0.6883,0.7917,0.5938,0.6905,0.5345,0.7661,0.6129,0.6517,0.62,0.8407,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,sin_balanceo,IBk_kNN,69.39,64.26,0.5574,0.6561,0.689,0.8333,0.625,0.75,0.3621,0.7937,0.8333,0.6774,0.4118,0.767,32,False,no,Recall crítico bajo en: right,bloques,3.0
